"No New Relic Application ID configured, cannot continue with Cron Event reporting","Não está configurado nenhum ID de Aplicação New Relic, não é possível continuar com o relatório através de eventos Cron",module,Magento_NewRelicReporting
"The New Relic integration requires the newrelic-php5 agent, which is not installed. More 
                        information on installing the agent is available <a target=""_blank"" href=""%1"">here</a>.","A integração New Relic exige o agente newrelic-php5, que não está instalado. Mais informação sobre como instalar o agente está disponível <a target=""_blank"" href=""%1"">aqui</a>.",module,Magento_NewRelicReporting
"Now Shopping by","Filtro Ativo",theme,frontend/Magento/luma
Previous,Anterior,theme,frontend/Magento/luma
Remove,Eliminar,theme,frontend/Magento/luma
"Remove This Item","Remover Este Item",theme,frontend/Magento/luma
"Shop By","Filtrar Por",theme,frontend/Magento/luma
"Clear All","Limpar Tudo",theme,frontend/Magento/luma
"Shopping Options","Opções de Compra",theme,frontend/Magento/luma
"Welcome to %store_name.","Bem-vindo à %store_name.",theme,frontend/Magento/luma
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Para iniciar sessão no nosso site, use estas credenciais durante a compra ou na página <a href=""%customer_url"">A Minha Conta</a>:",theme,frontend/Magento/luma
Password:,Palavra-passe:,theme,frontend/Magento/luma
"Password you set when creating account","Palavra-passe que definiu ao criar a sua conta",theme,frontend/Magento/luma
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Esqueceu-se da palavra-passe? Clique <a href=""%reset_url"">aqui</a> para a redefinir.",theme,frontend/Magento/luma
"When you sign in to your account, you will be able to:","Quando iniciar sessão, vai poder:",theme,frontend/Magento/luma
"Quick Checkout","Finalizar Compra Rápido",theme,frontend/Magento/luma
"Proceed through checkout faster","Finalizar a compra de forma mais rápida",theme,frontend/Magento/luma
"Order Status","Estado da Encomenda",theme,frontend/Magento/luma
"Check the status of orders","Verificar o estado das encomendas",theme,frontend/Magento/luma
"Manage Addresses","Gerir Moradas",theme,frontend/Magento/luma
"Store alternative addresses","Moradas alternativas da loja",theme,frontend/Magento/luma
"For shipping to multiple family members and friends","Para enviar para vários familiares e amigos",theme,frontend/Magento/luma
"Order History","Histórico de Encomendas",theme,frontend/Magento/luma
"View past orders","Ver encomendas antigas",theme,frontend/Magento/luma
"About Us","Sobre Nós",theme,frontend/Magento/luma
"Customer Service","Atendimento ao Cliente",theme,frontend/Magento/luma
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Horário de Funcionamento:<br /><span class=""no-link"">%store_hours</span>.",theme,frontend/Magento/luma
